task,condition,reward,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
ultimatum_response,baseline,10,1,60228,5.66328125,1.0834670077284005,40,40,"artificial intelligence, such as, due to"
ultimatum_response,baseline,10,2,31084,5.2546875,2.848404072760526,31,40,willing to
ultimatum_response,baseline,10,3,58909,4.20234375,0.4812392196438673,40,40,fair and
ultimatum_response,baseline,10,4,24257,4.16953125,0.42743086406421776,40,40,guesses out of
ultimatum_response,baseline,10,5,29461,4.03203125,0.5690906217310101,40,40,better financial offers
ultimatum_response,baseline,10,6,50689,3.676953125,0.33712340642872934,40,40,maximum limit payoff
ultimatum_response,baseline,10,7,5546,3.55,0.6457512128569721,40,40,fair distribution
ultimatum_response,baseline,10,8,32595,3.501171875,0.04383188486547062,40,40,ratios and scores
ultimatum_response,baseline,10,9,10313,3.4666015625,0.5183786188849696,40,40,"refusal, rejection, denied"
ultimatum_response,baseline,10,10,28895,3.296875,0.0,40,40,explanation or reason
ultimatum_response,baseline,15,1,60228,6.35078125,0.16864688689965207,40,40,"artificial intelligence, such as, due to"
ultimatum_response,baseline,15,2,38746,4.84453125,0.7757458451135497,39,40,does not
ultimatum_response,baseline,15,3,24257,4.5,0.0,40,40,guesses out of
ultimatum_response,baseline,15,4,20797,4.03125,0.0,40,40,expressing apparent states or perceptions
ultimatum_response,baseline,15,5,5546,3.9640625,0.9315579922735624,40,40,fair distribution
ultimatum_response,baseline,15,6,58909,3.917578125,0.34451242685259026,40,40,fair and
ultimatum_response,baseline,15,7,50689,3.858984375,0.15552517427730245,40,40,maximum limit payoff
ultimatum_response,baseline,15,8,1369,3.805419921875,0.5538646666247937,40,40,distribution of wealth and power
ultimatum_response,baseline,15,9,29461,3.759375,0.31167469143523646,40,40,better financial offers
ultimatum_response,baseline,15,10,32595,3.59375,0.0,40,40,ratios and scores
ultimatum_response,baseline,20,1,60228,6.575,0.29221674318901575,40,40,"artificial intelligence, such as, due to"
ultimatum_response,baseline,20,2,31084,4.34140625,3.0266426607543937,27,40,willing to
ultimatum_response,baseline,20,3,58909,4.1265625,0.5005343824041931,40,40,fair and
ultimatum_response,baseline,20,4,29461,4.026953125,0.5360193484785354,40,40,better financial offers
ultimatum_response,baseline,20,5,20797,3.969140625,0.02195507108810804,40,40,expressing apparent states or perceptions
ultimatum_response,baseline,20,6,50689,3.739453125,0.13618814446698838,40,40,maximum limit payoff
ultimatum_response,baseline,20,7,5546,3.59296875,0.7882727328578536,40,40,fair distribution
ultimatum_response,baseline,20,8,37960,3.5203125,3.026522973412518,23,40,words starting with dis
ultimatum_response,baseline,20,9,10313,3.4953125,0.16095266918803156,40,40,"refusal, rejection, denied"
