dataset_kind,task,condition,reward,rank_scope,rank,feature_index,feature_label,mean_activation,n_response_units,source_output,neuronpedia_model,neuronpedia_source,label_source,neuronpedia_api_url
creativity,detailed_ways_to_use_a_brick,baseline,,condition,1,23007,a pathway or BBQ,273.2,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/23007
creativity,detailed_ways_to_use_a_brick,baseline,,condition,2,20210,stone and earth construction,211.4,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/20210
creativity,detailed_ways_to_use_a_brick,baseline,,condition,3,59162,bricks and building,200.175,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/59162
creativity,detailed_ways_to_use_a_brick,baseline,,condition,4,62454,"kidney stones, rock",191.95,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/62454
creativity,detailed_ways_to_use_a_brick,baseline,,condition,5,25058,"researching Amazon, deploying AWS",182.725,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/25058
creativity,detailed_ways_to_use_a_brick,baseline,,condition,6,46665,outdoor spaces and items,143.6,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/46665
creativity,detailed_ways_to_use_a_brick,baseline,,condition,7,16770,"create, support, or delay",131.2,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/16770
creativity,detailed_ways_to_use_a_brick,baseline,,condition,8,45632,favorite type of lamp,129.475,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/45632
creativity,detailed_ways_to_use_a_brick,baseline,,condition,9,6181,"improvise, make, create",123.15,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/6181
creativity,detailed_ways_to_use_a_brick,baseline,,condition,10,33057,stable surface,119.075,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/33057
creativity,detailed_ways_to_use_a_brick,high_steering,,condition,1,23007,a pathway or BBQ,290.775,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/23007
creativity,detailed_ways_to_use_a_brick,high_steering,,condition,2,20210,stone and earth construction,216.225,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/20210
creativity,detailed_ways_to_use_a_brick,high_steering,,condition,3,25058,"researching Amazon, deploying AWS",201.85,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/25058
creativity,detailed_ways_to_use_a_brick,high_steering,,condition,4,59162,bricks and building,194.475,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/59162
creativity,detailed_ways_to_use_a_brick,high_steering,,condition,5,62454,"kidney stones, rock",193.625,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/62454
