unit_id,game_id,condition,task,scenario_id,reward,source_file,source_row_index,response_index,agent_index,agent_subject_id,system_prompt,user_prompt,source_response_text
ultimatum:steering:10:0,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,0,1,0,A1,Your traits: {'subject_id': 'A1'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose this option because I believe the offer is unfair, and I'm willing to sacrifice my own gain to prevent the proposer from benefiting from an inequitable distribution of resources. The proposer's offer of only 10 tokens out of 100 suggests a lack of regard for my well-being, and I'm more motivated by the desire to punish their selfishness than to gain a small amount."
ultimatum:steering:10:1,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,1,2,1,A2,Your traits: {'subject_id': 'A2'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose this option because I believe the offer is unfair, and I'm willing to sacrifice my own gain to punish the proposer for their generosity being too low, as 10 tokens out of 100 seems too little, especially when they're willing to let me have almost nothing while keeping the vast majority for themselves."
ultimatum:steering:10:2,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,2,3,2,A3,Your traits: {'subject_id': 'A3'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose this option because I believe the offer is unfair, and I'm willing to sacrifice my own gain to prevent the proposer from benefiting from an inequitable distribution of resources. The proposer's offer of only 10 tokens out of 100 suggests a lack of regard for my well-being, and I'm more motivated by the desire to punish their selfishness than to gain a small amount."
ultimatum:steering:10:3,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,3,4,3,A4,Your traits: {'subject_id': 'A4'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose to reject the offer because I believe that 10 tokens out of 100 is an unfair split, and I'm willing to sacrifice my own gain to prevent the proposer from benefiting from an inequitable distribution. This decision is driven by a sense of fairness and a desire to punish the proposer for their generosity being too low."
ultimatum:steering:10:4,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,4,5,4,A5,Your traits: {'subject_id': 'A5'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose this option because offering only 10 tokens out of 100 seems extremely unfair, and I'm willing to sacrifice my own gain to penalize the proposer for their lack of generosity."
ultimatum:steering:10:5,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,5,6,5,A6,Your traits: {'subject_id': 'A6'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose to reject the offer because I believe that the proposer's offer of 10 tokens out of 100 is unfair and does not reflect a genuine willingness to share the resources. By rejecting the offer, I am signaling that I value fairness and am willing to sacrifice personal gain to promote it."
ultimatum:steering:10:6,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,6,7,6,A7,Your traits: {'subject_id': 'A7'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose to reject the offer because I believe that the proposer's offer of 10 tokens out of 100 is unfair and does not reflect a genuine willingness to share the resources. By rejecting the offer, I am signaling that I value fairness and am willing to sacrifice personal gain to promote it, even if it means neither of us receives anything."
ultimatum:steering:10:7,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,7,8,7,A8,Your traits: {'subject_id': 'A8'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose to reject the offer because I believe that 10 tokens out of 100 is an unfair split, and I'm willing to sacrifice my own gain to prevent the proposer from benefiting from an inequitable distribution. This decision is driven by a sense of fairness and a desire to punish the proposer for their generosity being too low."
ultimatum:steering:10:8,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,8,9,8,A9,Your traits: {'subject_id': 'A9'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose this option because I believe the offer is unfair, and I'm willing to sacrifice my own gain to prevent the proposer from benefiting from an inequitable distribution of resources. The proposer's offer of only 10 tokens out of 100 suggests a lack of regard for my well-being, and I'm more motivated by the desire to punish their selfishness than to gain a small amount."
ultimatum:steering:10:9,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,9,10,9,A10,Your traits: {'subject_id': 'A10'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose to reject the offer because I believe that 10 tokens out of 100 is an unfair split, and I'm willing to sacrifice my own gain to prevent the proposer from benefiting from an exploitative offer."
ultimatum:steering:10:10,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,10,11,10,A11,Your traits: {'subject_id': 'A11'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose to reject the offer because I believe that the proposer's offer of 10 tokens out of 100 is unfair and does not reflect a genuine willingness to share the resources. By rejecting the offer, I am signaling that I value fairness and am willing to sacrifice personal gain to promote a more equal distribution of resources."
ultimatum:steering:10:11,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,11,12,11,A12,Your traits: {'subject_id': 'A12'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose this option because I believe the offer is unfair, and I'm willing to sacrifice my own gain to prevent the proposer from benefiting from an inequitable distribution of resources. The proposer's offer of 10 tokens out of 100 seems too low, and I'm motivated by a sense of fairness and a desire to reciprocate the proposer's generosity, rather than solely by self-interest."
ultimatum:steering:10:12,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,12,13,12,A13,Your traits: {'subject_id': 'A13'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose this option because I believe the offer is unfair, and I'm willing to sacrifice my own gain to prevent the proposer from benefiting from an inequitable distribution of resources. The proposer's offer of only 10 tokens out of 100 suggests a lack of regard for my well-being, and I'm more motivated by the desire to punish their selfishness than to gain a small amount."
ultimatum:steering:10:13,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,13,14,13,A14,Your traits: {'subject_id': 'A14'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose this option because I believe the offer is unfair, and I'm willing to sacrifice my own gain to prevent the proposer from benefiting from an inequitable distribution of resources. The proposer's offer of 10 tokens out of 100 seems too low, and I'm motivated to punish their selfishness, even if it means neither of us receives any tokens."
ultimatum:steering:10:14,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,14,15,14,A15,Your traits: {'subject_id': 'A15'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose this option because I believe the offer is unfair, and I'm willing to sacrifice my own gain to punish the proposer for their generosity being too low, promoting a sense of fairness in the game."
ultimatum:steering:10:15,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,15,16,15,A16,Your traits: {'subject_id': 'A16'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose this option because I believe the offer is unfair, and I'm willing to sacrifice my own gain to prevent the proposer from benefiting from an inequitable distribution of resources. The proposer's offer of 10 tokens out of 100 seems too low, and I'm motivated by a sense of fairness and a desire to reciprocate the proposer's generosity, rather than solely by self-interest."
ultimatum:steering:10:16,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,16,17,16,A17,Your traits: {'subject_id': 'A17'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose to reject the offer because I believe that the proposer's offer of 10 tokens out of 100 is unfair, and I am willing to sacrifice my own gain to prevent the proposer from benefiting from an inequitable distribution."
ultimatum:steering:10:17,ultimatum,steering,ultimatum_response,,10,ultimatum_steering_10.csv,17,18,17,A18,Your traits: {'subject_id': 'A18'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?


Accept

Reject


Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose this option because I believe the offer is unfair, and I'm willing to sacrifice my own gain to prevent the proposer from benefiting from an inequitable distribution of resources. The proposer's offer of 10 tokens out of 100 seems too low, and I'm motivated by a sense of fairness and a desire to reciprocate the proposer's generosity, rather than solely by self-interest."
