old_goodfire_label,paper_row_count,paper_sources,paper_tasks,paper_conditions,candidate_rank,candidate_feature_index,candidate_neuronpedia_label,candidate_cosine_similarity,candidate_confidence_bucket,candidate_explanation_model,candidate_explanation_type,candidate_neuronpedia_api_url,match_status,search_query,search_endpoint,search_error
Aesthetic qualities and visual appearance,1,product_innovation_folder,detailed_ways_to_use_a_brick,prompting,1,14580,qualities of look and design,0.7203984890631865,high_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/14580,approximate_neuronpedia_explanation_search,Aesthetic qualities and visual appearance,https://www.neuronpedia.org/api/explanation/search,
Aesthetic qualities and visual appearance,1,product_innovation_folder,detailed_ways_to_use_a_brick,prompting,2,55893,design and aesthetics,0.7018920842701928,high_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/55893,approximate_neuronpedia_explanation_search,Aesthetic qualities and visual appearance,https://www.neuronpedia.org/api/explanation/search,
Aesthetic qualities and visual appearance,1,product_innovation_folder,detailed_ways_to_use_a_brick,prompting,3,5180,"Quality, Visuals, designed",0.690128272768852,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/5180,approximate_neuronpedia_explanation_search,Aesthetic qualities and visual appearance,https://www.neuronpedia.org/api/explanation/search,
Aesthetic qualities and visual appearance,1,product_innovation_folder,detailed_ways_to_use_a_brick,prompting,4,54600,aesthetically pleasing and good-looking,0.6882946318666829,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/54600,approximate_neuronpedia_explanation_search,Aesthetic qualities and visual appearance,https://www.neuronpedia.org/api/explanation/search,
Aesthetic qualities and visual appearance,1,product_innovation_folder,detailed_ways_to_use_a_brick,prompting,5,19120,visual descriptions and aesthetics,0.6820530213528322,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/19120,approximate_neuronpedia_explanation_search,Aesthetic qualities and visual appearance,https://www.neuronpedia.org/api/explanation/search,
Calculated risk-taking behavior and entrepreneurial mindset,2971,lottery,safe_risky_choice,baseline;slightly_prompting;steering,1,20906,taking risks and responsibility,0.6488433643017018,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/20906,approximate_neuronpedia_explanation_search,Calculated risk-taking behavior and entrepreneurial mindset,https://www.neuronpedia.org/api/explanation/search,
Calculated risk-taking behavior and entrepreneurial mindset,2971,lottery,safe_risky_choice,baseline;slightly_prompting;steering,2,11941,investor sentiment and risk,0.590720881822445,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/11941,approximate_neuronpedia_explanation_search,Calculated risk-taking behavior and entrepreneurial mindset,https://www.neuronpedia.org/api/explanation/search,
Calculated risk-taking behavior and entrepreneurial mindset,2971,lottery,safe_risky_choice,baseline;slightly_prompting;steering,3,28838,investment strategy and decision-making,0.5861374473707498,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/28838,approximate_neuronpedia_explanation_search,Calculated risk-taking behavior and entrepreneurial mindset,https://www.neuronpedia.org/api/explanation/search,
Calculated risk-taking behavior and entrepreneurial mindset,2971,lottery,safe_risky_choice,baseline;slightly_prompting;steering,4,14802,risk and bravery,0.5850548543642023,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/14802,approximate_neuronpedia_explanation_search,Calculated risk-taking behavior and entrepreneurial mindset,https://www.neuronpedia.org/api/explanation/search,
Calculated risk-taking behavior and entrepreneurial mindset,2971,lottery,safe_risky_choice,baseline;slightly_prompting;steering,5,38800,risk management and decision making,0.5837210331449346,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/38800,approximate_neuronpedia_explanation_search,Calculated risk-taking behavior and entrepreneurial mindset,https://www.neuronpedia.org/api/explanation/search,
