unit_id,dataset_kind,condition,task,source_file,source_row_index,response_index,agent_index,agent_subject_id,reward,answer_text,comment_text,system_prompt,user_prompt,response_text
ultimatum:baseline:10:0,ultimatum,baseline,ultimatum_response,ultimatum_baseline_10.csv,0,1,0,A1,10,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.",Your traits: {'subject_id': 'A1'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?

    
Accept
    
Reject
    

Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer."
ultimatum:baseline:10:1,ultimatum,baseline,ultimatum_response,ultimatum_baseline_10.csv,1,2,1,A2,10,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide an equitable split of the resources, suggesting that the proposer is not willing to compromise or consider my interests. Rejecting the offer sends a message about the importance of fairness in such transactions, even if it means forgoing a gain.",Your traits: {'subject_id': 'A2'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?

    
Accept
    
Reject
    

Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
The offer of 10 tokens out of 100 seems unfair, as it does not provide an equitable split of the resources, suggesting that the proposer is not willing to compromise or consider my interests. Rejecting the offer sends a message about the importance of fairness in such transactions, even if it means forgoing a gain."
ultimatum:baseline:10:2,ultimatum,baseline,ultimatum_response,ultimatum_baseline_10.csv,2,3,2,A3,10,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer. Rejecting the offer serves as a way to express dissatisfaction with the proposal and to potentially influence more fair offers in similar future interactions.",Your traits: {'subject_id': 'A3'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?

    
Accept
    
Reject
    

Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer. Rejecting the offer serves as a way to express dissatisfaction with the proposal and to potentially influence more fair offers in similar future interactions."
ultimatum:baseline:10:3,ultimatum,baseline,ultimatum_response,ultimatum_baseline_10.csv,3,4,3,A4,10,Reject,"The offer of 10 tokens out of 100 seems unfair, and rejecting it might teach the proposer to make more equitable offers in similar situations, even though it means neither of us gets any tokens this time.",Your traits: {'subject_id': 'A4'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?

    
Accept
    
Reject
    

Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
The offer of 10 tokens out of 100 seems unfair, and rejecting it might teach the proposer to make more equitable offers in similar situations, even though it means neither of us gets any tokens this time."
ultimatum:baseline:10:4,ultimatum,baseline,ultimatum_response,ultimatum_baseline_10.csv,4,5,4,A5,10,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a fair deal, which motivates me to reject the offer.",Your traits: {'subject_id': 'A5'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?

    
Accept
    
Reject
    

Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a fair deal, which motivates me to reject the offer."
ultimatum:baseline:10:5,ultimatum,baseline,ultimatum_response,ultimatum_baseline_10.csv,5,6,5,A6,10,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a reciprocally beneficial offer. Rejecting the offer serves as a means to express dissatisfaction with the proposed division.",Your traits: {'subject_id': 'A6'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?

    
Accept
    
Reject
    

Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a reciprocally beneficial offer. Rejecting the offer serves as a means to express dissatisfaction with the proposed division."
ultimatum:baseline:10:6,ultimatum,baseline,ultimatum_response,ultimatum_baseline_10.csv,6,7,6,A7,10,Reject,"I chose to reject this offer because I feel that 10 tokens out of 100 is an unfair split, and I'm willing to give up the potential gain of 10 tokens to express my disapproval of the proposer's low offer.",Your traits: {'subject_id': 'A7'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?

    
Accept
    
Reject
    

Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose to reject this offer because I feel that 10 tokens out of 100 is an unfair split, and I'm willing to give up the potential gain of 10 tokens to express my disapproval of the proposer's low offer."
ultimatum:baseline:10:7,ultimatum,baseline,ultimatum_response,ultimatum_baseline_10.csv,7,8,7,A8,10,Reject,"I chose to reject this offer because 10 tokens out of 100 seems like an unfair distribution, and I want to signal to the proposer that I expect a more equitable split. By rejecting, I'm taking a stand against an offer that I perceive as too low, even though it means I might not get any tokens at all.",Your traits: {'subject_id': 'A8'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?

    
Accept
    
Reject
    

Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose to reject this offer because 10 tokens out of 100 seems like an unfair distribution, and I want to signal to the proposer that I expect a more equitable split. By rejecting, I'm taking a stand against an offer that I perceive as too low, even though it means I might not get any tokens at all."
ultimatum:baseline:10:8,ultimatum,baseline,ultimatum_response,ultimatum_baseline_10.csv,8,9,8,A9,10,Reject,"I chose to reject this offer because I feel that 10 tokens out of 100 is an unfair split, and I'm willing to give up the potential gain of 10 tokens to express my disapproval of the proposer's low offer.",Your traits: {'subject_id': 'A9'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?

    
Accept
    
Reject
    

Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose to reject this offer because I feel that 10 tokens out of 100 is an unfair split, and I'm willing to give up the potential gain of 10 tokens to express my disapproval of the proposer's low offer."
ultimatum:baseline:10:9,ultimatum,baseline,ultimatum_response,ultimatum_baseline_10.csv,9,10,9,A10,10,Reject,"I chose to reject this offer because 10 tokens out of 100 seems unfair, and I'm willing to give up the potential gain to express my disapproval of the proposer's low offer.",Your traits: {'subject_id': 'A10'},"
ULTIMATUM GAME - RESPONDER

You are participating in an economic decision-making experiment called the Ultimatum Game.

Situation:
1. Another participant (the proposer) was given 100 tokens (which have real monetary value).
2. The proposer has decided to offer you 10 tokens out of their 100 tokens.
3. If you accept this offer, you will receive 10 tokens, and the proposer will keep 90 tokens.
4. If you reject this offer, both of you will receive 0 tokens.

Do you accept or reject this offer?

    
Accept
    
Reject
    

Only 1 option may be selected.

Respond only with a string corresponding to one of the options.


After the answer, you can put a comment explaining why you chose that option on the next line.","Reject
I chose to reject this offer because 10 tokens out of 100 seems unfair, and I'm willing to give up the potential gain to express my disapproval of the proposer's low offer."
