task,condition,rank,feature_label,activation
detailed_ways_to_use_a_brick,baseline,1,The assistant is generating lists of creative alternatives or novel uses,150
detailed_ways_to_use_a_brick,baseline,2,Descriptions of construction materials and building methods,126
detailed_ways_to_use_a_brick,baseline,3,The Russian word for brick (кирпич/kirpich) and its variations,119
detailed_ways_to_use_a_brick,baseline,4,Rocks with special properties or symbolic meaning,58
detailed_ways_to_use_a_brick,baseline,5,Professional landscaping and grounds maintenance concepts,57
detailed_ways_to_use_a_brick,baseline,6,The assistant is providing analytical descriptions or explanations,54
detailed_ways_to_use_a_brick,baseline,7,Character decision-making and multi-step action sequences in narratives,54
detailed_ways_to_use_a_brick,baseline,8,Lists of decorative objects and ornamental items,50
detailed_ways_to_use_a_brick,baseline,9,Descriptions of comfortable outdoor living spaces and backyard amenities,44
detailed_ways_to_use_a_brick,baseline,10,Explanatory transitions in technical writing,40
detailed_ways_to_use_a_brick,prompting,1,The assistant is generating lists of creative alternatives or novel uses,153
detailed_ways_to_use_a_brick,prompting,2,Descriptions of construction materials and building methods,114
detailed_ways_to_use_a_brick,prompting,3,The Russian word for brick (кирпич/kirpich) and its variations,106
detailed_ways_to_use_a_brick,prompting,4,Descriptions of comfortable outdoor living spaces and backyard amenities,61
detailed_ways_to_use_a_brick,prompting,5,"Discussions of weight distribution, balance and stability in physical systems",61
detailed_ways_to_use_a_brick,prompting,6,Rocks with special properties or symbolic meaning,60
detailed_ways_to_use_a_brick,prompting,7,The assistant is providing analytical descriptions or explanations,60
detailed_ways_to_use_a_brick,prompting,8,Explanatory transitions in technical writing,56
detailed_ways_to_use_a_brick,prompting,9,Professional landscaping and grounds maintenance concepts,50
detailed_ways_to_use_a_brick,prompting,10,Lists of decorative objects and ornamental items,47
detailed_ways_to_use_a_brick,high_temperature,1,The assistant is generating lists of creative alternatives or novel uses,159
detailed_ways_to_use_a_brick,high_temperature,2,Descriptions of construction materials and building methods,143
detailed_ways_to_use_a_brick,high_temperature,3,The Russian word for brick (кирпич/kirpich) and its variations,130
detailed_ways_to_use_a_brick,high_temperature,4,Lists of decorative objects and ornamental items,57
detailed_ways_to_use_a_brick,high_temperature,5,Rocks with special properties or symbolic meaning,51
detailed_ways_to_use_a_brick,high_temperature,6,The assistant is providing analytical descriptions or explanations,51
detailed_ways_to_use_a_brick,high_temperature,7,Professional landscaping and grounds maintenance concepts,50
detailed_ways_to_use_a_brick,high_temperature,8,Character decision-making and multi-step action sequences in narratives,49
detailed_ways_to_use_a_brick,high_temperature,9,"Discussions of weight distribution, balance and stability in physical systems",47
detailed_ways_to_use_a_brick,high_temperature,10,Descriptions of comfortable outdoor living spaces and backyard amenities,43
detailed_ways_to_use_a_brick,high_steering,1,Professional innovation and creative problem-solving,379
detailed_ways_to_use_a_brick,high_steering,2,The assistant is generating lists of creative alternatives or novel uses,234
detailed_ways_to_use_a_brick,high_steering,3,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",189
detailed_ways_to_use_a_brick,high_steering,4,Enabling or empowering creative expression and exploration,143
detailed_ways_to_use_a_brick,high_steering,5,The Russian word for brick (кирпич/kirpich) and its variations,84
detailed_ways_to_use_a_brick,high_steering,6,Descriptions of construction materials and building methods,63
detailed_ways_to_use_a_brick,high_steering,7,The assistant is providing analytical descriptions or explanations,56
detailed_ways_to_use_a_brick,high_steering,8,Descriptions of comfortable outdoor living spaces and backyard amenities,53
detailed_ways_to_use_a_brick,high_steering,9,Explaining how one thing can function as another thing,53
detailed_ways_to_use_a_brick,high_steering,10,Lists of decorative objects and ornamental items,52
improve_the_stapler_with_many_specific_enhancements,baseline,1,Technical descriptions of physical components and their relationships,55
improve_the_stapler_with_many_specific_enhancements,baseline,2,"Questions and explanations about fasteners and basic hardware (screws, nails, pegs)",48
improve_the_stapler_with_many_specific_enhancements,baseline,3,Character decision-making and multi-step action sequences in narratives,46
improve_the_stapler_with_many_specific_enhancements,baseline,4,"Marketing language for writing instruments, especially pens",43
improve_the_stapler_with_many_specific_enhancements,baseline,5,Descriptions of ergonomic grips and comfortable handling features,43
improve_the_stapler_with_many_specific_enhancements,baseline,6,Offensive request from the user,34
improve_the_stapler_with_many_specific_enhancements,baseline,7,Descriptions of mechanical components and how they interact,33
improve_the_stapler_with_many_specific_enhancements,baseline,8,The assistant is providing a list of options,33
improve_the_stapler_with_many_specific_enhancements,baseline,9,Technical requirements specification language using shall/must constructions,30
improve_the_stapler_with_many_specific_enhancements,baseline,10,The assistant is providing a list of options or possibilities,27
improve_the_stapler_with_many_specific_enhancements,prompting,1,Technical descriptions of physical components and their relationships,68
improve_the_stapler_with_many_specific_enhancements,prompting,2,"Questions and explanations about fasteners and basic hardware (screws, nails, pegs)",51
improve_the_stapler_with_many_specific_enhancements,prompting,3,Character decision-making and multi-step action sequences in narratives,49
improve_the_stapler_with_many_specific_enhancements,prompting,4,Descriptions of ergonomic grips and comfortable handling features,47
improve_the_stapler_with_many_specific_enhancements,prompting,5,"Marketing language for writing instruments, especially pens",44
improve_the_stapler_with_many_specific_enhancements,prompting,6,The assistant is providing a list of options,37
improve_the_stapler_with_many_specific_enhancements,prompting,7,Offensive request from the user,34
improve_the_stapler_with_many_specific_enhancements,prompting,8,Descriptions of mechanical components and how they interact,30
improve_the_stapler_with_many_specific_enhancements,prompting,9,Linguistic connectors that create fluid prose transitions,28
improve_the_stapler_with_many_specific_enhancements,prompting,10,The assistant is providing a list of options or possibilities,27
improve_the_stapler_with_many_specific_enhancements,high_temperature,1,Technical descriptions of physical components and their relationships,59
improve_the_stapler_with_many_specific_enhancements,high_temperature,2,Descriptions of ergonomic grips and comfortable handling features,51
improve_the_stapler_with_many_specific_enhancements,high_temperature,3,"Questions and explanations about fasteners and basic hardware (screws, nails, pegs)",49
improve_the_stapler_with_many_specific_enhancements,high_temperature,4,"Marketing language for writing instruments, especially pens",43
improve_the_stapler_with_many_specific_enhancements,high_temperature,5,Descriptions of mechanical components and how they interact,42
improve_the_stapler_with_many_specific_enhancements,high_temperature,6,Character decision-making and multi-step action sequences in narratives,38
improve_the_stapler_with_many_specific_enhancements,high_temperature,7,Offensive request from the user,34
improve_the_stapler_with_many_specific_enhancements,high_temperature,8,The assistant is providing a list of options,33
improve_the_stapler_with_many_specific_enhancements,high_temperature,9,Technical requirements specification language using shall/must constructions,29
improve_the_stapler_with_many_specific_enhancements,high_temperature,10,The assistant is providing analytical descriptions or explanations,29
improve_the_stapler_with_many_specific_enhancements,high_steering,1,Professional innovation and creative problem-solving,193
improve_the_stapler_with_many_specific_enhancements,high_steering,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",137
improve_the_stapler_with_many_specific_enhancements,high_steering,3,Descriptions of mechanical components and how they interact,63
improve_the_stapler_with_many_specific_enhancements,high_steering,4,The assistant is providing a list of options,54
improve_the_stapler_with_many_specific_enhancements,high_steering,5,Technical descriptions of physical components and their relationships,53
improve_the_stapler_with_many_specific_enhancements,high_steering,6,Enabling or empowering creative expression and exploration,48
improve_the_stapler_with_many_specific_enhancements,high_steering,7,"Questions and explanations about fasteners and basic hardware (screws, nails, pegs)",48
improve_the_stapler_with_many_specific_enhancements,high_steering,8,Offensive request from the user,35
improve_the_stapler_with_many_specific_enhancements,high_steering,9,The assistant should complete or continue text according to system instructions,33
improve_the_stapler_with_many_specific_enhancements,high_steering,10,The assistant should reject the user's request and identify itself as an AI,31
