task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label,reward
trust_return,baseline,50108,7.8125,0.0,4,4,"trust, worthiness, relationship",
trust_return,baseline,35863,6.28125,0.0,4,4,maximum limits or quantities,
trust_return,baseline,29638,6.21875,0.0,4,4,Tr followed by letters,
trust_return,baseline,55853,5.9375,0.0,4,4,"words starting with ""re""",
trust_return,baseline,54324,5.9375,0.0,4,4,obligation and mandatory terms,
trust_return,baseline,58655,5.75,0.0,4,4,participation,
trust_return,baseline,58909,5.65625,0.0,4,4,fair and,
trust_return,baseline,61252,5.5625,0.0,4,4,this is a statement,
trust_return,baseline,4156,5.28125,0.0,4,4,game theory and related phrases,
trust_return,baseline,13771,5.21875,0.0,4,4,experiments and experimentation,
trust_return,baseline,5758,5.1875,0.0,4,4,after an action or event,
trust_return,baseline,299,5.15625,0.0,4,4,"numerical data, tasks, and representation",
trust_return,baseline,22797,5.15625,0.0,4,4,how to comment,
trust_return,baseline,52701,5.015625,0.953125,4,4,original,
trust_return,baseline,59894,4.96875,0.0,4,4,explaining choice or answer,
trust_return,baseline,59645,4.875,0.0,4,4,"Person, package, question, gear options",
trust_return,baseline,2522,4.78125,0.0,4,4,decimal point or places,
trust_return,baseline,21323,4.65625,0.0,4,4,player in games,
trust_return,baseline,26699,4.65625,0.0,4,4,making a choice,
trust_return,baseline,8180,4.65625,0.0,4,4,decide whether,
trust_return,baseline,12204,4.59375,0.0,4,4,"receita, receba, recepcionista",
trust_return,baseline,62951,4.53125,0.0,4,4,up to and until,
trust_return,baseline,56164,4.53125,0.0,4,4,feature_56164,
trust_return,baseline,38187,4.46875,0.0,4,4,integer,
trust_return,baseline,17104,4.46875,0.0,4,4,any quantity or kind,
trust_return,baseline,52756,4.4375,0.0,4,4,experience and related words,
trust_return,baseline,5088,4.34375,0.0,4,4,report and related actions,
trust_return,baseline,42602,4.3125,0.0,4,4,asking how many,
trust_return,baseline,65310,4.1875,0.0,4,4,amount of,
trust_return,baseline,61402,4.1875,0.0,4,4,negative numbers and punctuation,
trust_return,baseline,16485,4.140625,0.015625,4,4,"original text, sentence, answer",
trust_return,baseline,8438,4.125,0.0,4,4,received communications,
trust_return,baseline,50548,4.09375,0.0,4,4,code block starters,
trust_return,baseline,22551,4.0625,0.0,4,4,game theory variations,
trust_return,baseline,21326,4.0625,0.0,4,4,"tokenization, tokenized, tokenizing",
trust_return,baseline,4886,4.03125,0.0,4,4,reply with programming instructions,
trust_return,baseline,16837,4.0,0.0,4,4,examples,
trust_return,baseline,1553,3.96875,0.0,4,4,numbered list items,
trust_return,baseline,6120,3.9375,0.0,4,4,conceito e receita,
trust_return,baseline,6793,3.890625,0.0,4,4,tri- words,
trust_return,baseline,46945,3.84375,0.0,4,4,defining roles and instructions,
trust_return,baseline,44411,3.8125,0.0,4,4,numbers following decimal points,
trust_return,baseline,43957,3.75,0.0,4,4,"keep him shrunken, keep secrets, kept as",
trust_return,baseline,41241,3.734375,0.0,4,4,"zero-sum, zero-shot, zero padded",
trust_return,baseline,45690,3.734375,0.0,4,4,would you like,
trust_return,baseline,59081,3.71875,0.0,4,4,reciprocate or return favor,
trust_return,baseline,24135,3.703125,0.0,4,4,ellipsis and formatting characters,
trust_return,baseline,52973,3.671875,0.0,4,4,would like to,
trust_return,baseline,28409,3.65625,0.0,4,4,respond to,
trust_return,baseline,58785,3.609375,0.0,4,4,negated statements,
trust_return,baseline,33009,3.609375,0.0,4,4,instructions and formatting markers,
trust_return,baseline,41557,3.609375,0.0,4,4,after an event,
trust_return,baseline,7861,3.46875,0.0,4,4,player each have to,
trust_return,baseline,36377,3.46875,0.0,4,4,past participle following forms of 'to be',
trust_return,baseline,44712,3.421875,0.0,4,4,then followed by action,
trust_return,baseline,46702,3.359375,0.0,4,4,if statements about absence or inability,
trust_return,baseline,51833,3.34375,0.0,4,4,pronouns and self-reference,
trust_return,baseline,29172,3.3125,0.0,4,4,top choices for,
trust_return,baseline,11286,3.3125,0.0,4,4,one hundred,
trust_return,baseline,52248,3.265625,0.0,4,4,requires a condition,
trust_return,baseline,9694,3.25,0.0,4,4,current state or situation,
trust_return,baseline,33608,3.25,0.0,4,4,the number 30,
trust_return,baseline,15676,3.234375,0.0,4,4,in the style of,
trust_return,baseline,16068,3.21875,0.3125,4,4,"proportion, portion, fraction",
trust_return,baseline,53435,3.203125,0.0,4,4,equivalent or synonym,
trust_return,baseline,39721,3.203125,0.0,4,4,multiplication results,
trust_return,baseline,55098,3.203125,0.0,4,4,ordinal lines,
trust_return,baseline,575,3.1875,0.0,4,4,instructing how to say unknown,
trust_return,baseline,57877,3.171875,0.0,4,4,"twice, double, times quantity",
trust_return,baseline,21954,3.15625,0.0,4,4,triple delimited text,
trust_return,baseline,49631,3.15625,0.0,4,4,putting forth or into,
trust_return,baseline,52290,3.109375,0.0,4,4,not necessarily,
trust_return,baseline,29317,3.09375,0.0,4,4,a scope of topics,
trust_return,baseline,56465,3.078125,0.0,4,4,initial states or values,
trust_return,baseline,52088,3.078125,0.0,4,4,need to,
trust_return,baseline,22111,3.0625,0.0,4,4,receive messages or notifications,
trust_return,baseline,38898,3.046875,0.0,4,4,"writing, creating, making something",
trust_return,baseline,7033,3.046875,0.5625,4,4,shows or demonstrates,
trust_return,baseline,56463,3.03125,0.0,4,4,is not,
trust_return,baseline,40717,3.015625,0.0,4,4,the other / remote / listener,
trust_return,baseline,3195,2.984375,0.0,4,4,trust and others,
trust_return,baseline,4151,2.984375,0.0,4,4,currency amounts,
trust_return,baseline,52403,2.984375,0.0,4,4,instructional phrases,
trust_return,baseline,30865,2.984375,0.0,4,4,obligation and duty,
trust_return,baseline,29953,2.96875,0.0,4,4,been + past participle,
trust_return,baseline,43743,2.96875,0.0,4,4,10mm or 10-,
trust_return,baseline,376,2.953125,0.0,4,4,for example and e.g,
trust_return,baseline,59994,2.953125,0.0,4,4,line of code,
trust_return,baseline,63227,2.953125,0.0,4,4,encouraging actions,
trust_return,baseline,28394,2.9375,0.0,4,4,12 months or unit,
trust_return,baseline,57417,2.90625,0.0,4,4,returning home or back,
trust_return,baseline,50689,2.90625,0.0,4,4,maximum limit payoff,
trust_return,baseline,36835,2.90625,0.0,4,4,"recipient, participant, applicant",
trust_return,baseline,50179,2.90625,0.0,4,4,apples,
trust_return,baseline,50372,2.90625,0.0,4,4,numbers in arithmetic expressions,
trust_return,baseline,55368,2.890625,0.0,4,4,here's a,
trust_return,baseline,31737,2.875,0.0,4,4,questions with auxiliaries,
trust_return,baseline,44745,2.875,2.875,2,4,level of,
trust_return,baseline,43129,2.875,0.0,4,4,word beginnings,
trust_return,baseline,31756,2.859375,0.0,4,4,how would you questions,
trust_return,baseline,22040,2.859375,0.0,4,4,choose to,
trust_return,baseline,1325,2.859375,0.0,4,4,the number three,
