task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label,reward
ultimatum_response,steering,60228,5.96875,0.0,8,8,"artificial intelligence, such as, due to",
ultimatum_response,steering,40158,4.65625,0.0,8,8,low X,
ultimatum_response,steering,26699,4.34375,0.0,8,8,making a choice,
ultimatum_response,steering,58448,4.21875,0.0,8,8,such a,
ultimatum_response,steering,58909,4.0625,0.0,8,8,fair and,
ultimatum_response,steering,20797,4.03125,0.0,8,8,expressing apparent states or perceptions,
ultimatum_response,steering,5546,3.943359375,0.6203901035761566,8,8,fair distribution,
ultimatum_response,steering,29461,3.904296875,0.10809448517204462,8,8,better financial offers,
ultimatum_response,steering,24356,3.703125,0.0,8,8,explaining a reason,
ultimatum_response,steering,50689,3.6796875,0.020669932117692115,8,8,maximum limit payoff,
ultimatum_response,steering,10313,3.505859375,0.15914074005886858,8,8,"refusal, rejection, denied",
ultimatum_response,steering,25885,3.48828125,0.13435455876499874,8,8,such followed by a noun,
ultimatum_response,steering,32595,3.328125,0.0,8,8,ratios and scores,
ultimatum_response,steering,28895,3.3125,0.0,8,8,explanation or reason,
ultimatum_response,steering,29014,3.125,0.0,8,8,such a/an adjective,
ultimatum_response,steering,238,3.125,0.0,8,8,accept and its forms,
ultimatum_response,steering,19310,3.078125,0.0,8,8,rejected or denied,
ultimatum_response,steering,50372,3.046875,0.0,8,8,numbers in arithmetic expressions,
ultimatum_response,steering,11328,2.9375,0.0,8,8,could or would be,
ultimatum_response,steering,22551,2.93359375,0.6047879236700974,8,8,game theory variations,
ultimatum_response,steering,24257,2.84375,0.0,8,8,guesses out of,
ultimatum_response,steering,16735,2.8125,0.0,8,8,lines following new lines,
ultimatum_response,steering,20148,2.771484375,0.2297642170987127,8,8,prevention of future events,
ultimatum_response,steering,11566,2.765625,0.0,8,8,offering products or services,
ultimatum_response,steering,31084,2.73046875,3.525123886203992,3,8,willing to,
ultimatum_response,steering,47380,2.703125,0.0,8,8,user's choice or preference,
ultimatum_response,steering,36792,2.669921875,1.4035170383377242,8,8,predicting the future,
ultimatum_response,steering,44244,2.652099609375,1.9254103452354048,8,8,future and past,
ultimatum_response,steering,5941,2.546875,0.0,8,8,structural delimiters often preceding content,
ultimatum_response,steering,21112,2.546875,0.0,8,8,deciding to act,
ultimatum_response,steering,40790,2.53125,0.0,8,8,a good,
ultimatum_response,steering,13815,2.53125,0.0,8,8,because followed by a reason,
ultimatum_response,steering,59579,2.515625,2.515625,4,8,cooperation and cooperative,
ultimatum_response,steering,12826,2.466796875,0.20543124360624743,8,8,verbs followed by it or your,
ultimatum_response,steering,38281,2.451171875,1.4151937269900927,6,8,encouraging support and engagement,
ultimatum_response,steering,49065,2.4306640625,1.4918011070205421,8,8,future events,
ultimatum_response,steering,2031,2.390625,0.06051536478449089,8,8,not condone,
ultimatum_response,steering,35908,2.359375,0.0,8,8,past tense verbs,
ultimatum_response,steering,37436,2.3447265625,1.0048742711007257,7,8,action or transaction,
ultimatum_response,steering,65511,2.3330078125,0.7796461809176222,8,8,guidelines in the future,
ultimatum_response,steering,51064,2.29296875,1.3352005917154124,6,8,finding similarities,
ultimatum_response,steering,42295,2.29248046875,1.9041350467096045,8,8,future outcomes and planning,
ultimatum_response,steering,32861,2.27734375,0.44570637734352364,8,8,additional information and conjunctions,
ultimatum_response,steering,42474,2.228515625,0.19119687208865205,8,8,sharing portions and equal amounts,
ultimatum_response,steering,17286,2.220703125,0.06367906401133244,8,8,accepting invitations and meals,
ultimatum_response,steering,53907,2.19921875,0.16270832499733226,8,8,benefits and disadvantages,
ultimatum_response,steering,10830,2.197265625,0.24456213612849878,8,8,had a / have a,
ultimatum_response,steering,39917,2.1875,0.0,8,8,"small, few, limited",
ultimatum_response,steering,8931,2.15625,0.0,8,8,harmful and unethical statements,
ultimatum_response,steering,6586,2.15625,0.0,8,8,explaining why,
ultimatum_response,steering,15708,2.15625,0.0,8,8,things look and seem,
ultimatum_response,steering,43377,2.15234375,0.10874539771152386,8,8,business operations and decisions,
ultimatum_response,steering,22040,2.109375,0.0,8,8,choose to,
ultimatum_response,steering,54718,2.06640625,0.27833230511443063,8,8,"Rapunzel, New York, cabinet, step, fine",
ultimatum_response,steering,28069,2.0625,0.0,8,8,This means difference,
ultimatum_response,steering,43503,2.05859375,0.3072558021090692,8,8,similar,
ultimatum_response,steering,36284,2.046875,0.0,8,8,coin landing on heads,
ultimatum_response,steering,32828,2.015625,0.0,8,8,explaining why,
ultimatum_response,steering,48232,1.984375,0.2049199538844375,8,8,"walk away, make, better",
ultimatum_response,steering,37648,1.9765625,0.0,8,8,sequences of ten,
ultimatum_response,steering,55396,1.952392578125,1.020909076268148,7,8,making decisions and contributions,
ultimatum_response,steering,37255,1.9423828125,2.3819764718688177,4,8,"willingness, unwillingness, and need",
ultimatum_response,steering,39026,1.8984375,0.0,8,8,higher values,
ultimatum_response,steering,16737,1.8828125,0.0,8,8,be to / is not,
ultimatum_response,steering,54172,1.859375,0.0,8,8,to + verb,
ultimatum_response,steering,61240,1.8515625,0.0,8,8,such,
ultimatum_response,steering,27874,1.8466796875,0.2238501945653244,8,8,linking contrasting states,
ultimatum_response,steering,32820,1.828125,0.32856648127462346,8,8,low values or levels,
ultimatum_response,steering,11286,1.7890625,0.0,8,8,one hundred,
ultimatum_response,steering,63227,1.77734375,1.08184790865488,6,8,encouraging actions,
ultimatum_response,steering,18868,1.7734375,0.0,8,8,"implement, minimize, maximize",
ultimatum_response,steering,2590,1.7734375,0.0,8,8,and since then,
ultimatum_response,steering,28802,1.765625,0.0,8,8,contrast conjunctions like while or although,
ultimatum_response,steering,46634,1.7578125,0.0,8,8,indicates 'this',
ultimatum_response,steering,17137,1.7421875,0.0,8,8,technical or code syntax,
ultimatum_response,steering,7947,1.71875,0.0,8,8,states or conditions,
ultimatum_response,steering,15844,1.71875,0.0,8,8,affirmative or negative continuations,
ultimatum_response,steering,61847,1.7041015625,0.02325367363240363,8,8,un- prefix,
ultimatum_response,steering,34051,1.703125,0.0,8,8,articles following punctuation,
ultimatum_response,steering,60610,1.685546875,1.306217233347256,5,8,context situations and future,
ultimatum_response,steering,51844,1.666015625,1.6662606062555114,4,8,signal processing and verification,
ultimatum_response,steering,20124,1.6611328125,0.1089512928620335,8,8,by/by,
ultimatum_response,steering,38246,1.65625,0.0,8,8,actions following specific qualifiers,
ultimatum_response,steering,43743,1.65625,0.0,8,8,10mm or 10-,
ultimatum_response,steering,53719,1.65625,0.0,8,8,and followed by consequence,
ultimatum_response,steering,17014,1.6376953125,1.233470343806568,7,8,causes and negative outcomes,
ultimatum_response,steering,15777,1.623046875,0.9371886690087324,6,8,"inherently good, bad, or malicious",
ultimatum_response,steering,50493,1.62109375,0.4992517594720498,8,8,example for,
ultimatum_response,steering,8249,1.603515625,0.09117140638268599,8,8,identifying what things mean,
ultimatum_response,steering,38887,1.59375,0.0,8,8,it is a,
ultimatum_response,steering,18345,1.591796875,0.0372120290688626,8,8,the second number,
ultimatum_response,steering,3078,1.5859375,0.0,8,8,re words,
ultimatum_response,steering,56334,1.5859375,0.0,8,8,numbers and units,
ultimatum_response,steering,20426,1.5859375,0.1557609534170069,8,8,predicting future events,
ultimatum_response,steering,57325,1.583984375,0.29715113596858733,8,8,social dynamics and inclusivity,
ultimatum_response,steering,50257,1.5830078125,0.21710238538474444,8,8,such a,
ultimatum_response,steering,2075,1.5712890625,1.9637346113878023,4,8,valuing experiences and people,
ultimatum_response,steering,44893,1.56640625,0.4477216902430153,8,8,fair price,
ultimatum_response,steering,51890,1.5546875,0.0,8,8,use bricks to create,
ultimatum_response,steering,25588,1.5546875,0.0,8,8,quantities and units,
ultimatum_response,steering,43424,1.5390625,0.0,8,8,"negative prefixes (in-, im-, ir-)",
ultimatum_response,steering,13615,1.537109375,0.26719292529214145,8,8,sentence terminators,
ultimatum_response,steering,43934,1.5302734375,0.19006375096570188,8,8,"miss, missed, missing",
ultimatum_response,steering,35200,1.517578125,0.5766285266648468,7,8,series of positive concepts,
ultimatum_response,steering,63947,1.515625,0.058070581044212914,8,8,clause boundaries,
ultimatum_response,steering,8641,1.515625,0.0,8,8,units of measurement,
ultimatum_response,steering,16286,1.5,0.0,8,8,verb + following word,
ultimatum_response,steering,13312,1.4921875,0.0,8,8,intensifier + adjective,
ultimatum_response,steering,42086,1.484375,0.0,8,8,sentence-ending punctuation,
ultimatum_response,steering,11028,1.478515625,0.39406202759438375,8,8,"killers, murderers, maintainers, developers",
ultimatum_response,steering,44546,1.4765625,1.906233990711463,3,8,interaction with/between,
ultimatum_response,steering,46490,1.46875,0.0,8,8,chemical formulas with numbers,
ultimatum_response,steering,42735,1.453125,0.0,8,8,considering given since,
ultimatum_response,steering,58312,1.4521484375,0.19046474036360994,8,8,referring to it or them,
ultimatum_response,steering,6270,1.4453125,0.0,8,8,quantities and units,
ultimatum_response,steering,5033,1.44384765625,1.3041171351930305,5,8,ability and ations,
ultimatum_response,steering,34154,1.435546875,0.0919214580136726,8,8,listing followed by detail,
ultimatum_response,steering,3049,1.4287109375,0.08996573749678176,8,8,repository usage and context,
ultimatum_response,steering,49872,1.42529296875,0.3133377290647335,8,8,balance and navigate actions,
ultimatum_response,steering,17497,1.4228515625,0.0025837415147115144,8,8,excess or disproportionate amounts,
ultimatum_response,steering,61823,1.4208984375,0.2307148282408715,8,8,conjunctions and relative clauses,
ultimatum_response,steering,62368,1.40625,0.15939223252424348,8,8,offering to,
ultimatum_response,steering,51865,1.4033203125,0.0990477041272088,8,8,i followed by comma or conjunction,
ultimatum_response,steering,44308,1.3984375,0.0,8,8,percentage values and ratios,
ultimatum_response,steering,37667,1.39599609375,0.32867059307061475,8,8,can also lead/perpetuate/be,
ultimatum_response,steering,42477,1.388671875,0.0983374677747977,8,8,overly helpful,
ultimatum_response,steering,55167,1.3857421875,0.11006600220462535,8,8,contrasting or alternative circumstances,
ultimatum_response,steering,33200,1.384765625,0.32627711625518097,8,8,stingy,
ultimatum_response,steering,60090,1.383819580078125,1.1165762105061834,8,8,propose and suggest ideas,
ultimatum_response,steering,31907,1.380859375,0.7015226968803513,8,8,creating or providing outcomes,
ultimatum_response,steering,4156,1.375,1.375,4,8,game theory and related phrases,
ultimatum_response,steering,6946,1.375,0.0,8,8,"two women, hell, column",
ultimatum_response,steering,5254,1.375,0.0,8,8,is a / is not a,
ultimatum_response,steering,26215,1.3740234375,0.5864442795401547,8,8,manipulation or coercion,
ultimatum_response,steering,24471,1.37353515625,0.380503326662136,8,8,end of clause or list item,
ultimatum_response,steering,42628,1.3671875,0.0,8,8,answer or reply,
ultimatum_response,steering,58809,1.3671875,0.0,8,8,accounting forcurrently only make upThese include,
ultimatum_response,steering,38412,1.3671875,0.0,8,8,"delete, remove, or kill",
ultimatum_response,steering,63033,1.359375,0.0,8,8,repetitive dialogue or common phrases,
ultimatum_response,steering,46082,1.359375,0.0,8,8,share or divide,
ultimatum_response,steering,8449,1.359375,0.030257682392245445,8,8,encouragement and guidance,
ultimatum_response,steering,21450,1.3583984375,1.056613096770568,5,8,in relationships and interactions,
ultimatum_response,steering,50916,1.3525390625,1.121896914637327,8,8,message clear,
ultimatum_response,steering,17905,1.3359375,0.0,8,8,requesting specific items,
ultimatum_response,steering,49395,1.3359375,0.0,8,8,content generation requests,
ultimatum_response,steering,1924,1.3359375,0.0,8,8,labels followed by colon,
ultimatum_response,steering,37116,1.3359375,1.7246878963579904,3,8,potentially negative outcomes,
ultimatum_response,steering,4315,1.3359375,0.0,8,8,some research studies,
ultimatum_response,steering,29085,1.333984375,0.11885210967672966,8,8,negotiate lower prices or terms,
ultimatum_response,steering,12334,1.3291015625,0.22925519678180656,8,8,when to expect,
ultimatum_response,steering,32653,1.32421875,0.41857068222180227,8,8,"erect, interrupt, protect, predict, inject",
ultimatum_response,steering,914,1.322265625,0.17702468199974086,8,8,cause and effect,
ultimatum_response,steering,62308,1.3203125,0.5106889686063818,7,8,"coherence, consistency, clarity, efficiency",
ultimatum_response,steering,48486,1.3193359375,0.10828400491399846,8,8,game playing,
ultimatum_response,steering,7025,1.316650390625,0.9200366489221801,8,8,game,
ultimatum_response,steering,34273,1.3154296875,0.5567596843615484,7,8,making actions,
ultimatum_response,steering,42924,1.31005859375,0.4674009620085297,8,8,social injustice and discrimination,
ultimatum_response,steering,13102,1.3046875,0.0,8,8,this/the followed by content,
ultimatum_response,steering,14010,1.3017578125,0.05673315448546021,8,8,potential harm or offense,
ultimatum_response,steering,10634,1.2974853515625,0.5351266087029132,8,8,generating sequences,
ultimatum_response,steering,23653,1.296875,0.0,8,8,strive for greatness; established in,
ultimatum_response,steering,36865,1.2958984375,1.5572589713484444,4,8,setting stage tone foundation scene,
ultimatum_response,steering,16011,1.2890625,0.0,8,8,"This number, which implies, represents",
ultimatum_response,steering,27054,1.2880859375,0.10968409867188973,8,8,agreed to form pact,
ultimatum_response,steering,39863,1.2822265625,0.1266033342208642,8,8,functional requirement,
ultimatum_response,steering,41232,1.28125,0.10554106317270544,8,8,access to updated information,
ultimatum_response,steering,8021,1.275390625,0.007564420598061361,8,8,rewards and incentives ensure,
ultimatum_response,steering,1708,1.2744140625,0.36267038484612113,8,8,"conditions, currencies, together, good, was, perfect, landscape, life",
ultimatum_response,steering,17600,1.2734375,1.6440069309654688,3,8,gerunds and present participles,
ultimatum_response,steering,19886,1.2734375,0.0,8,8,promoting positive attributes or qualities,
ultimatum_response,steering,15169,1.271484375,0.19790274587830226,8,8,adding more information,
ultimatum_response,steering,55209,1.265625,0.0,8,8,yes/no/positive/negative classifications,
ultimatum_response,steering,5319,1.265625,0.0,8,8,has a / an / uma,
ultimatum_response,steering,35149,1.265625,0.0,8,8,is not,
ultimatum_response,steering,12342,1.2646484375,0.10828400491399846,8,8,"requires some, captain may, navigate using",
ultimatum_response,steering,54629,1.26025390625,0.3525319613853725,8,8,extreme conditions or states,
ultimatum_response,steering,35613,1.2578125,0.0,8,8,"own unique, any open, one of",
ultimatum_response,steering,25058,1.2578125,0.0,8,8,"researching Amazon, deploying AWS",
ultimatum_response,steering,22617,1.251953125,1.8237199448533372,3,8,renunciar,
ultimatum_response,steering,5869,1.2421875,0.0,8,8,apple counts,
ultimatum_response,steering,24719,1.2421875,0.0,8,8,offers a,
ultimatum_response,steering,62917,1.2421875,0.0,8,8,attractiveness and desirability,
ultimatum_response,steering,35366,1.2421875,0.8554620611896039,8,8,lead to hurt or discrimination,
ultimatum_response,steering,562,1.240234375,1.2422596652583284,4,8,sending audio,
ultimatum_response,steering,22455,1.236328125,1.596092746190947,3,8,willing to + verb,
ultimatum_response,steering,35005,1.236328125,0.3584183939437086,8,8,always or ever,
ultimatum_response,steering,53827,1.23046875,0.9118646787669826,8,8,communicate effectively and respectfully,
ultimatum_response,steering,33424,1.2265625,0.0,8,8,assistant replies,
ultimatum_response,steering,18960,1.2265625,0.0,8,8,preposition followed by the,
ultimatum_response,steering,61162,1.2236328125,1.2827195834336205,4,8,willingness and commitment,
ultimatum_response,steering,59573,1.220703125,0.022693261794184082,8,8,"activities, impacts, companies",
ultimatum_response,steering,40991,1.216552734375,0.7202472433787553,8,8,"Rootkits, late payments, Hausarbeiten, Maultiere, woodchucks",
ultimatum_response,steering,50592,1.21337890625,0.7312775891960092,7,8,connecting related outcomes or continuations,
ultimatum_response,steering,6006,1.2080078125,0.18284160675738192,8,8,special characters and department,
ultimatum_response,steering,54251,1.20703125,0.051674830294230284,8,8,"detects ""it"" after conjunctions",
ultimatum_response,steering,40442,1.20458984375,0.24470978578144795,8,8,greater or even,
ultimatum_response,steering,45191,1.1982421875,0.007751224544134543,8,8,is not enough,
ultimatum_response,steering,54635,1.19091796875,0.5128029555897632,8,8,challenging behavior,
ultimatum_response,steering,60051,1.1845703125,0.2609578929858629,8,8,word followed by it,
ultimatum_response,steering,44255,1.18359375,1.528012960808395,3,8,"set followed by up, in, out, by",
ultimatum_response,steering,60228,5.96875,0.0,8,8,"artificial intelligence, such as, due to",10
ultimatum_response,steering,40158,4.65625,0.0,8,8,low X,10
ultimatum_response,steering,26699,4.34375,0.0,8,8,making a choice,10
ultimatum_response,steering,58448,4.21875,0.0,8,8,such a,10
ultimatum_response,steering,58909,4.0625,0.0,8,8,fair and,10
ultimatum_response,steering,20797,4.03125,0.0,8,8,expressing apparent states or perceptions,10
ultimatum_response,steering,5546,3.943359375,0.6203901035761566,8,8,fair distribution,10
