dataset_kind,condition,task,reward,agent_index,agent_subject_id,source_file,source_row_index,response_index,unit_id,feature_rank,feature_index,activation,feature_aggregation,max_activation,max_token_index,max_token_id,max_token_text,max_token_is_special_or_control,activation_scope,included_token_count,special_or_control_token_count,sequence_length,model_id,sae_repo,hook,status,error,tokenization_notes,answer_text,comment_text,response_preview,feature_label
ultimatum,steering,ultimatum_response,10,0,A1,ultimatum_steering_10.csv,0,1,open_sae_steered:ultimatum:steering:10:0,1,60228,5.96875,max,5.96875,211,704, out,False,all_content,46,13,246,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"Reject
I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.","Reject I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.","artificial intelligence, such as, due to"
ultimatum,steering,ultimatum_response,10,0,A1,ultimatum_steering_10.csv,0,1,open_sae_steered:ultimatum:steering:10:0,2,59579,5.03125,max,5.03125,238,23915, cooperation,False,all_content,46,13,246,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"Reject
I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.","Reject I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.",cooperation and cooperative
ultimatum,steering,ultimatum_response,10,0,A1,ultimatum_steering_10.csv,0,1,open_sae_steered:ultimatum:steering:10:0,3,40158,4.65625,max,4.65625,222,3428, low,False,all_content,46,13,246,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"Reject
I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.","Reject I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.",low X
ultimatum,steering,ultimatum_response,10,0,A1,ultimatum_steering_10.csv,0,1,open_sae_steered:ultimatum:steering:10:0,4,26699,4.34375,max,4.34375,202,14896, chose,False,all_content,46,13,246,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"Reject
I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.","Reject I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.",making a choice
ultimatum,steering,ultimatum_response,10,0,A1,ultimatum_steering_10.csv,0,1,open_sae_steered:ultimatum:steering:10:0,5,58448,4.21875,max,4.21875,221,264, a,False,all_content,46,13,246,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"Reject
I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.","Reject I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.",such a
ultimatum,steering,ultimatum_response,10,0,A1,ultimatum_steering_10.csv,0,1,open_sae_steered:ultimatum:steering:10:0,6,58909,4.0625,max,4.0625,216,28743, unfair,False,all_content,46,13,246,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"Reject
I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.","Reject I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.",fair and
ultimatum,steering,ultimatum_response,10,0,A1,ultimatum_steering_10.csv,0,1,open_sae_steered:ultimatum:steering:10:0,7,44244,4.03125,max,4.03125,234,279, the,False,all_content,46,13,246,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"Reject
I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.","Reject I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.",future and past
ultimatum,steering,ultimatum_response,10,0,A1,ultimatum_steering_10.csv,0,1,open_sae_steered:ultimatum:steering:10:0,8,20797,4.03125,max,4.03125,215,5084, seems,False,all_content,46,13,246,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"Reject
I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.","Reject I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.",expressing apparent states or perceptions
ultimatum,steering,ultimatum_response,10,0,A1,ultimatum_steering_10.csv,0,1,open_sae_steered:ultimatum:steering:10:0,9,29461,3.875,max,3.875,231,3428, low,False,all_content,46,13,246,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"Reject
I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.","Reject I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.",better financial offers
ultimatum,steering,ultimatum_response,10,0,A1,ultimatum_steering_10.csv,0,1,open_sae_steered:ultimatum:steering:10:0,10,36792,3.75,max,3.75,234,279, the,False,all_content,46,13,246,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"Reject
I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.","Reject I chose to reject the offer because 10 tokens out of 100 seems unfair, and accepting such a low offer might encourage proposers to make similarly low offers in the future, undermining cooperation and fairness in the game.",predicting the future
