dataset_kind,condition,task,reward,agent_index,agent_subject_id,source_file,source_row_index,response_index,unit_id,feature_rank,feature_index,activation,feature_aggregation,max_activation,max_token_index,max_token_id,max_token_text,max_token_is_special_or_control,activation_scope,included_token_count,special_or_control_token_count,sequence_length,model_id,sae_repo,hook,status,error,tokenization_notes,answer_text,comment_text,response_preview,feature_label
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,1,25058,232.0,frequency,1.578125,163,649, can,False,assistant_response,378,13,495,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep them from blowing away."", ""A brick can be utilized as a material for building a retaining wall, by stacking the bricks to form the wall and using mortar to hold them in place."", ""Bricks can be employed as a decorative element in a room, by using them to create a accent wall or other design feature."", ""You can use a brick as a base for a lamp or other decorative item, by placing the brick under the item and using its weight to stabilize it.""]

I chose these uses for a brick because they showcase the versatility of the object and its potential for both practical and decorative applications.",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...","researching Amazon, deploying AWS"
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,2,20210,193.0,frequency,4.75,225,311, to,False,assistant_response,378,13,495,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep them from blowing away."", ""A brick can be utilized as a material for building a retaining wall, by stacking the bricks to form the wall and using mortar to hold them in place."", ""Bricks can be employed as a decorative element in a room, by using them to create a accent wall or other design feature."", ""You can use a brick as a base for a lamp or other decorative item, by placing the brick under the item and using its weight to stabilize it.""]

I chose these uses for a brick because they showcase the versatility of the object and its potential for both practical and decorative applications.",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",stone and earth construction
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,3,23007,183.0,frequency,6.53125,314,264, a,False,assistant_response,378,13,495,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep them from blowing away."", ""A brick can be utilized as a material for building a retaining wall, by stacking the bricks to form the wall and using mortar to hold them in place."", ""Bricks can be employed as a decorative element in a room, by using them to create a accent wall or other design feature."", ""You can use a brick as a base for a lamp or other decorative item, by placing the brick under the item and using its weight to stabilize it.""]

I chose these uses for a brick because they showcase the versatility of the object and its potential for both practical and decorative applications.",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",a pathway or BBQ
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,4,59162,181.0,frequency,5.40625,236,25878, brick,False,assistant_response,378,13,495,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep them from blowing away."", ""A brick can be utilized as a material for building a retaining wall, by stacking the bricks to form the wall and using mortar to hold them in place."", ""Bricks can be employed as a decorative element in a room, by using them to create a accent wall or other design feature."", ""You can use a brick as a base for a lamp or other decorative item, by placing the brick under the item and using its weight to stabilize it.""]

I chose these uses for a brick because they showcase the versatility of the object and its potential for both practical and decorative applications.",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",bricks and building
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,5,62454,176.0,frequency,2.046875,443,264, a,False,assistant_response,378,13,495,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep them from blowing away."", ""A brick can be utilized as a material for building a retaining wall, by stacking the bricks to form the wall and using mortar to hold them in place."", ""Bricks can be employed as a decorative element in a room, by using them to create a accent wall or other design feature."", ""You can use a brick as a base for a lamp or other decorative item, by placing the brick under the item and using its weight to stabilize it.""]

I chose these uses for a brick because they showcase the versatility of the object and its potential for both practical and decorative applications.",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...","kidney stones, rock"
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,6,5769,169.0,frequency,2.9375,360,25878, brick,False,assistant_response,378,13,495,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep them from blowing away."", ""A brick can be utilized as a material for building a retaining wall, by stacking the bricks to form the wall and using mortar to hold them in place."", ""Bricks can be employed as a decorative element in a room, by using them to create a accent wall or other design feature."", ""You can use a brick as a base for a lamp or other decorative item, by placing the brick under the item and using its weight to stabilize it.""]

I chose these uses for a brick because they showcase the versatility of the object and its potential for both practical and decorative applications.",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",place flat stable stack
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,7,45632,145.0,frequency,5.0,450,46536, decorative,False,assistant_response,378,13,495,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep them from blowing away."", ""A brick can be utilized as a material for building a retaining wall, by stacking the bricks to form the wall and using mortar to hold them in place."", ""Bricks can be employed as a decorative element in a room, by using them to create a accent wall or other design feature."", ""You can use a brick as a base for a lamp or other decorative item, by placing the brick under the item and using its weight to stabilize it.""]

I chose these uses for a brick because they showcase the versatility of the object and its potential for both practical and decorative applications.",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",favorite type of lamp
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,8,35034,127.0,frequency,1.0703125,207,264, a,False,assistant_response,378,13,495,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep them from blowing away."", ""A brick can be utilized as a material for building a retaining wall, by stacking the bricks to form the wall and using mortar to hold them in place."", ""Bricks can be employed as a decorative element in a room, by using them to create a accent wall or other design feature."", ""You can use a brick as a base for a lamp or other decorative item, by placing the brick under the item and using its weight to stabilize it.""]

I chose these uses for a brick because they showcase the versatility of the object and its potential for both practical and decorative applications.",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",best deals and different models
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,9,33057,121.0,frequency,2.578125,458,279, the,False,assistant_response,378,13,495,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep them from blowing away."", ""A brick can be utilized as a material for building a retaining wall, by stacking the bricks to form the wall and using mortar to hold them in place."", ""Bricks can be employed as a decorative element in a room, by using them to create a accent wall or other design feature."", ""You can use a brick as a base for a lamp or other decorative item, by placing the brick under the item and using its weight to stabilize it.""]

I chose these uses for a brick because they showcase the versatility of the object and its potential for both practical and decorative applications.",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",stable surface
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,10,46665,112.0,frequency,2.265625,316,477, or,False,assistant_response,378,13,495,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep them from blowing away."", ""A brick can be utilized as a material for building a retaining wall, by stacking the bricks to form the wall and using mortar to hold them in place."", ""Bricks can be employed as a decorative element in a room, by using them to create a accent wall or other design feature."", ""You can use a brick as a base for a lamp or other decorative item, by placing the brick under the item and using its weight to stabilize it.""]

I chose these uses for a brick because they showcase the versatility of the object and its potential for both practical and decorative applications.",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",outdoor spaces and items
