task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label,reward
trust_return,baseline,50108,7.8125,0.0,100,100,"trust, worthiness, relationship",
trust_return,baseline,35863,6.23125,0.03479852726765905,100,100,maximum limits or quantities,
trust_return,baseline,29638,6.21875,0.0,100,100,Tr followed by letters,
trust_return,baseline,55853,5.9375,0.0,100,100,"words starting with ""re""",
trust_return,baseline,58655,5.75,0.0,100,100,participation,
trust_return,baseline,61252,5.4875,0.05962120008858413,100,100,this is a statement,
trust_return,baseline,4156,5.28125,0.0,100,100,game theory and related phrases,
trust_return,baseline,13771,5.21875,0.0,100,100,experiments and experimentation,
trust_return,baseline,299,5.171875,0.015625,100,100,"numerical data, tasks, and representation",
trust_return,baseline,22797,5.13125,0.012500000000136425,100,100,how to comment,
trust_return,baseline,5758,5.115625,0.04851304592584772,100,100,after an action or event,
trust_return,baseline,59894,4.940625,0.009375000000197057,100,100,explaining choice or answer,
trust_return,baseline,59645,4.875,0.0,100,100,"Person, package, question, gear options",
trust_return,baseline,2522,4.8,0.020728904939776093,100,100,decimal point or places,
trust_return,baseline,8180,4.65625,0.0,100,100,decide whether,
trust_return,baseline,21323,4.65625,0.0,100,100,player in games,
trust_return,baseline,12204,4.59375,0.0,100,100,"receita, receba, recepcionista",
trust_return,baseline,26699,4.58875,0.05774404731226799,100,100,making a choice,
trust_return,baseline,62951,4.53125,0.0,100,100,up to and until,
trust_return,baseline,17104,4.46875,0.0,100,100,any quantity or kind,
trust_return,baseline,38187,4.44375,0.018750000000109898,100,100,integer,
trust_return,baseline,52756,4.4375,0.0,100,100,experience and related words,
trust_return,baseline,5088,4.3375,0.012499999999852207,100,100,report and related actions,
trust_return,baseline,42602,4.29375,0.046770717334652996,100,100,asking how many,
trust_return,baseline,58909,4.199375,2.222262975971791,79,100,fair and,
trust_return,baseline,61402,4.184375,0.009374999999818102,100,100,negative numbers and punctuation,
trust_return,baseline,65310,4.13625,0.02188392674990592,100,100,amount of,
trust_return,baseline,8438,4.125,0.0,100,100,received communications,
trust_return,baseline,50548,4.084375,0.020009763242062877,100,100,code block starters,
trust_return,baseline,21326,4.0625,0.0,100,100,"tokenization, tokenized, tokenizing",
trust_return,baseline,22551,4.0625,0.0,100,100,game theory variations,
trust_return,baseline,4886,4.034375,0.009375000000197057,100,100,reply with programming instructions,
trust_return,baseline,16837,4.03125,0.01976423537608832,100,100,examples,
trust_return,baseline,59081,3.99953125,1.2421598955266138,100,100,reciprocate or return favor,
trust_return,baseline,1553,3.96875,0.0,100,100,numbered list items,
trust_return,baseline,6120,3.9375,0.0,100,100,conceito e receita,
trust_return,baseline,46945,3.84375,0.0,100,100,defining roles and instructions,
trust_return,baseline,44411,3.8390625,0.017187499999993798,100,100,numbers following decimal points,
