task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label,reward
ultimatum_response,baseline,60228,6.04296875,0.81173905171917,8,8,"artificial intelligence, such as, due to",
ultimatum_response,baseline,31084,5.2109375,3.018204450574671,6,8,willing to,
ultimatum_response,baseline,58909,4.3046875,0.5348567820863357,8,8,fair and,
ultimatum_response,baseline,24257,4.154296875,0.5386908535452959,8,8,guesses out of,
ultimatum_response,baseline,50689,3.736328125,0.31526486841362356,8,8,maximum limit payoff,
ultimatum_response,baseline,29461,3.70703125,0.5524133619500324,8,8,better financial offers,
ultimatum_response,baseline,5546,3.513671875,0.5855434873150835,8,8,fair distribution,
ultimatum_response,baseline,20797,3.49609375,1.3216466539622789,7,8,expressing apparent states or perceptions,
ultimatum_response,baseline,32595,3.48828125,0.06663563323918742,8,8,ratios and scores,
ultimatum_response,baseline,28895,3.296875,0.0,8,8,explanation or reason,
ultimatum_response,baseline,38746,3.26171875,2.5265164797524946,5,8,does not,
ultimatum_response,baseline,10313,3.2353515625,1.0168595073811646,8,8,"refusal, rejection, denied",
ultimatum_response,baseline,11566,3.060546875,0.24274601677907998,8,8,offering products or services,
ultimatum_response,baseline,12423,3.056640625,1.3170479588563715,7,8,split the file,
ultimatum_response,baseline,1369,2.848388671875,1.4752850329866887,8,8,distribution of wealth and power,
ultimatum_response,baseline,16735,2.75,0.0,8,8,lines following new lines,
ultimatum_response,baseline,42474,2.7177734375,0.868597859844511,8,8,sharing portions and equal amounts,
ultimatum_response,baseline,60090,2.69921875,0.6239126283170084,8,8,propose and suggest ideas,
ultimatum_response,baseline,50372,2.6640625,0.2628531850196988,8,8,numbers in arithmetic expressions,
ultimatum_response,baseline,5941,2.546875,0.0,8,8,structural delimiters often preceding content,
ultimatum_response,baseline,22551,2.3779296875,0.47163722634966865,8,8,game theory variations,
ultimatum_response,baseline,18028,2.374542236328125,1.6256767589379355,8,8,reasonableness and plausibility,
ultimatum_response,baseline,51890,2.36328125,0.5762612483649994,8,8,use bricks to create,
ultimatum_response,baseline,5033,2.3623046875,0.3725083543493469,8,8,ability and ations,
ultimatum_response,baseline,19310,2.3115234375,0.5597321973510768,8,8,rejected or denied,
ultimatum_response,baseline,54718,2.296875,0.35190955092360027,8,8,"Rapunzel, New York, cabinet, step, fine",
ultimatum_response,baseline,58365,2.2685546875,1.1048677246185665,8,8,it + verb describing state or action,
