task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label,reward
trust_return,baseline,50108,7.8125,0.0,8,8,"trust, worthiness, relationship",
trust_return,baseline,35863,6.28125,0.0,8,8,maximum limits or quantities,
trust_return,baseline,29638,6.21875,0.0,8,8,Tr followed by letters,
trust_return,baseline,55853,5.9375,0.0,8,8,"words starting with ""re""",
trust_return,baseline,58655,5.75,0.0,8,8,participation,
trust_return,baseline,61252,5.625,0.0,8,8,this is a statement,
trust_return,baseline,5758,5.40625,0.0,8,8,after an action or event,
trust_return,baseline,33342,5.40625,0.0,8,8,half + noun,
trust_return,baseline,4156,5.28125,0.0,8,8,game theory and related phrases,
trust_return,baseline,13771,5.21875,0.0,8,8,experiments and experimentation,
trust_return,baseline,299,5.1875,0.0,8,8,"numerical data, tasks, and representation",
trust_return,baseline,22797,5.15625,0.0,8,8,how to comment,
trust_return,baseline,59894,4.96875,0.0,8,8,explaining choice or answer,
trust_return,baseline,59645,4.875,0.0,8,8,"Person, package, question, gear options",
trust_return,baseline,2522,4.78125,0.0,8,8,decimal point or places,
trust_return,baseline,8180,4.65625,0.0,8,8,decide whether,
trust_return,baseline,21323,4.65625,0.0,8,8,player in games,
trust_return,baseline,12204,4.59375,0.0,8,8,"receita, receba, recepcionista",
trust_return,baseline,59081,4.5625,1.5955871764024678,8,8,reciprocate or return favor,
trust_return,baseline,26699,4.5625,0.0,8,8,making a choice,
trust_return,baseline,62951,4.53125,0.0,8,8,up to and until,
trust_return,baseline,38187,4.46875,0.0,8,8,integer,
trust_return,baseline,17104,4.46875,0.0,8,8,any quantity or kind,
trust_return,baseline,52756,4.4375,0.0,8,8,experience and related words,
trust_return,baseline,42602,4.3125,0.0,8,8,asking how many,
trust_return,baseline,5088,4.3125,0.0,8,8,report and related actions,
trust_return,baseline,61402,4.21875,0.0,8,8,negative numbers and punctuation,
trust_return,baseline,22551,4.16796875,0.27904408358884353,8,8,game theory variations,
trust_return,baseline,8438,4.125,0.0,8,8,received communications,
trust_return,baseline,65310,4.125,0.0,8,8,amount of,
trust_return,baseline,21326,4.0625,0.0,8,8,"tokenization, tokenized, tokenizing",
trust_return,baseline,4886,4.0625,0.0,8,8,reply with programming instructions,
