task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label,reward
ultimatum_response,steering,26699,4.586397058823529,0.0893768072143202,680,680,making a choice,
ultimatum_response,steering,60228,4.368589154411764,2.265838805829889,599,680,"artificial intelligence, such as, due to",
ultimatum_response,steering,50689,4.356663602941176,0.35839736925801285,680,680,maximum limit payoff,
ultimatum_response,steering,29461,3.9574908088235294,0.10964205803333962,680,680,better financial offers,
ultimatum_response,steering,24356,3.8764935661764706,0.0847824846100798,680,680,explaining a reason,
ultimatum_response,steering,19310,3.8132582720588237,0.5292198037581779,680,680,rejected or denied,
ultimatum_response,steering,238,3.7560431985294116,0.3482058820751566,680,680,accept and its forms,
ultimatum_response,steering,36182,3.5204733455882353,1.2859297282311148,600,680,linking words after punctuation,
ultimatum_response,steering,10313,3.474609375,0.1711290788716372,680,680,"refusal, rejection, denied",
ultimatum_response,steering,28802,3.2203125,0.7867378942483478,680,680,contrast conjunctions like while or although,
ultimatum_response,steering,5546,3.126907169117647,0.5990939818042578,680,680,fair distribution,
ultimatum_response,steering,28895,3.0404411764705883,0.1004154432628459,680,680,explanation or reason,
ultimatum_response,steering,17286,2.9570542279411764,0.3792848408658288,680,680,accepting invitations and meals,
ultimatum_response,steering,1617,2.917578125,1.1724911944609993,586,680,detecting still,
ultimatum_response,steering,21112,2.853860294117647,0.11021749789647696,680,680,deciding to act,
ultimatum_response,steering,50372,2.851999080882353,0.188920656864584,680,680,numbers in arithmetic expressions,
ultimatum_response,steering,13951,2.8368451286764707,0.7462580555903462,680,680,sum of products for game outcomes,
ultimatum_response,steering,16735,2.8244485294117645,0.014705882352984227,680,680,lines following new lines,
ultimatum_response,steering,18259,2.8048174689797793,1.1062223865245497,612,680,"comparisons with ""than""",
ultimatum_response,steering,22111,2.772518382352941,1.0293978547510843,600,680,receive messages or notifications,
ultimatum_response,steering,45326,2.6802367715274587,1.6828573890220992,567,680,equal opportunity and representation,
ultimatum_response,steering,11391,2.6534416647518384,3.090537663923238,680,680,if ... were statements,
ultimatum_response,steering,5941,2.619485294117647,0.029811166801869664,680,680,structural delimiters often preceding content,
ultimatum_response,steering,47380,2.5965073529411766,0.05601341538673321,680,680,user's choice or preference,
ultimatum_response,steering,12826,2.522748161764706,0.11813446505933764,680,680,verbs followed by it or your,
ultimatum_response,steering,11566,2.4916360294117648,0.38185615129622286,680,680,offering products or services,
ultimatum_response,steering,3217,2.4887738396139705,0.8781604637399952,680,680,is better,
ultimatum_response,steering,51890,2.415625,0.6104634768720147,680,680,use bricks to create,
ultimatum_response,steering,14161,2.395358455882353,1.898664201594276,419,680,significant impact or contribution,
ultimatum_response,steering,5107,2.344669117647059,2.5375164726867436,319,680,result in outcomes,
ultimatum_response,steering,21535,2.3427964154411764,1.114331954437003,680,680,in your favor,
ultimatum_response,steering,36284,2.2417279411764706,0.07505314581835777,680,680,coin landing on heads,
ultimatum_response,steering,6586,2.2380514705882355,0.03733473531540738,680,680,explaining why,
ultimatum_response,steering,13815,2.2306985294117645,0.1141083725953863,680,680,because followed by a reason,
ultimatum_response,steering,18345,2.2276194852941176,0.3313132311208343,680,680,the second number,
ultimatum_response,steering,51357,2.1982421875,0.8934434196232577,680,680,is highly,
