task,condition,reward,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
ultimatum_response,dose_altruism_01,10,1,60228,5.96875,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,dose_altruism_01,10,2,40158,4.65625,0.0,40,40,low X
ultimatum_response,dose_altruism_01,10,3,26699,4.34375,0.0,40,40,making a choice
ultimatum_response,dose_altruism_01,10,4,58448,4.21875,0.0,40,40,such a
ultimatum_response,dose_altruism_01,10,5,58909,4.0625,0.0,40,40,fair and
ultimatum_response,dose_altruism_01,10,6,20797,4.03125,0.0,40,40,expressing apparent states or perceptions
ultimatum_response,dose_altruism_01,10,7,31084,4.021875,3.6379228169210793,22,40,willing to
ultimatum_response,dose_altruism_01,10,8,29461,3.956640625,0.19385353521469487,40,40,better financial offers
ultimatum_response,dose_altruism_01,10,9,5546,3.88671875,0.6564522567785778,40,40,fair distribution
ultimatum_response,dose_altruism_01,10,10,42295,3.75185546875,1.686243335323298,40,40,future outcomes and planning
ultimatum_response,dose_altruism_01,15,1,60228,6.03125,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,dose_altruism_01,15,2,40158,4.353125,1.0059442470261457,38,40,low X
ultimatum_response,dose_altruism_01,15,3,26699,4.34375,0.0,40,40,making a choice
ultimatum_response,dose_altruism_01,15,4,29461,4.062890625,0.24103778261195735,40,40,better financial offers
ultimatum_response,dose_altruism_01,15,5,20797,4.0625,0.0,40,40,expressing apparent states or perceptions
ultimatum_response,dose_altruism_01,15,6,58909,4.03125,0.0,40,40,fair and
ultimatum_response,dose_altruism_01,15,7,24356,3.765625,0.0,40,40,explaining a reason
ultimatum_response,dose_altruism_01,15,8,5546,3.7515625,0.45139486507796134,40,40,fair distribution
ultimatum_response,dose_altruism_01,15,9,50689,3.5171875,0.16074776437014893,40,40,maximum limit payoff
ultimatum_response,dose_altruism_01,15,10,32595,3.4375,0.0,40,40,ratios and scores
ultimatum_response,dose_altruism_01,20,1,11391,6.40625,0.0,40,40,if ... were statements
ultimatum_response,dose_altruism_01,20,2,60228,6.03125,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,dose_altruism_01,20,3,26699,4.625,0.0,40,40,making a choice
ultimatum_response,dose_altruism_01,20,4,50689,4.5625,0.0,40,40,maximum limit payoff
