dataset_kind,condition,task,reward,agent_index,agent_subject_id,source_file,source_row_index,response_index,unit_id,feature_rank,feature_index,activation,feature_aggregation,max_activation,max_token_index,max_token_id,max_token_text,max_token_is_special_or_control,activation_scope,included_token_count,special_or_control_token_count,sequence_length,model_id,sae_repo,hook,status,error,tokenization_notes,answer_text,comment_text,response_preview,feature_label
ultimatum,baseline,ultimatum_response,10,0,A1,ultimatum_baseline_10.csv,0,1,ultimatum:baseline:10:0,1,31084,7.03125,max,7.03125,233,10032, willing,False,all_content,43,13,244,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.","Reject The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.",willing to
ultimatum,baseline,ultimatum_response,10,0,A1,ultimatum_baseline_10.csv,0,1,ultimatum:baseline:10:0,2,60228,6.3125,max,6.3125,208,704, out,False,all_content,43,13,244,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.","Reject The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.","artificial intelligence, such as, due to"
ultimatum,baseline,ultimatum_response,10,0,A1,ultimatum_baseline_10.csv,0,1,ultimatum:baseline:10:0,3,38746,5.21875,max,5.21875,217,1587, does,False,all_content,43,13,244,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.","Reject The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.",does not
ultimatum,baseline,ultimatum_response,10,0,A1,ultimatum_baseline_10.csv,0,1,ultimatum:baseline:10:0,4,24257,4.4375,max,4.4375,206,605,10,False,all_content,43,13,244,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.","Reject The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.",guesses out of
ultimatum,baseline,ultimatum_response,10,0,A1,ultimatum_baseline_10.csv,0,1,ultimatum:baseline:10:0,5,59579,4.34375,max,4.34375,238,48566, cooperative,False,all_content,43,13,244,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.","Reject The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.",cooperation and cooperative
ultimatum,baseline,ultimatum_response,10,0,A1,ultimatum_baseline_10.csv,0,1,ultimatum:baseline:10:0,6,12423,4.03125,max,4.03125,222,6859, split,False,all_content,43,13,244,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.","Reject The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.",split the file
ultimatum,baseline,ultimatum_response,10,0,A1,ultimatum_baseline_10.csv,0,1,ultimatum:baseline:10:0,7,1369,4.0,max,4.0,223,315, of,False,all_content,43,13,244,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.","Reject The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.",distribution of wealth and power
ultimatum,baseline,ultimatum_response,10,0,A1,ultimatum_baseline_10.csv,0,1,ultimatum:baseline:10:0,8,20797,3.984375,max,3.984375,212,5084, seems,False,all_content,43,13,244,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.","Reject The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.",expressing apparent states or perceptions
ultimatum,baseline,ultimatum_response,10,0,A1,ultimatum_baseline_10.csv,0,1,ultimatum:baseline:10:0,9,18028,3.96875,max,3.96875,221,13579, reasonable,False,all_content,43,13,244,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.","Reject The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.",reasonableness and plausibility
ultimatum,baseline,ultimatum_response,10,0,A1,ultimatum_baseline_10.csv,0,1,ultimatum:baseline:10:0,10,50689,3.9375,max,3.9375,224,279, the,False,all_content,43,13,244,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,could_not_find_user_content_subsequence,Reject,"The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.","Reject The offer of 10 tokens out of 100 seems unfair, as it does not provide a reasonable split of the resources, suggesting the proposer is not willing to make a genuinely cooperative or equitable offer.",maximum limit payoff
